Time (ms), eCO2 density (ppm)
207045,400.0
207154,400.0
207254,400.0
207354,400.0
207454,400.0
207564,400.0
207664,400.0
207764,400.0
207864,400.0
207963,400.0
208073,400.0
208173,400.0
208277,400.0
208383,400.0
208483,400.0
208583,400.0
208683,400.0
208787,400.0
208893,400.0
208992,400.0
209092,400.0
209192,400.0
209292,400.0
209402,400.0
209502,400.0
209605,400.0
209712,400.0
209812,400.0
209912,400.0
210012,400.0
210115,400.0
210221,400.0
210321,400.0
210421,400.0
210521,400.0
210621,400.0
210731,400.0
210831,400.0
210931,400.0
211031,400.0
211130,400.0
211240,400.0
211340,400.0
211443,400.0
211550,400.0
211650,400.0
211750,400.0
211850,400.0
211950,400.0
212060,400.0
212159,400.0
212259,400.0
212359,400.0
212459,400.0
212569,400.0
212669,400.0
212772,400.0
212879,400.0
212979,400.0
213079,400.0
213178,400.0
213289,400.0
213398,400.0
