Time (ms), Y Acceleration (g)
15007069,0.0439453125
15007169,0.05419921875
15007278,0.0478515625
15007379,0.044921875
15007478,0.048828125
15007587,0.04638671875
15007688,0.04541015625
15007788,0.04541015625
15007888,0.0546875
15007988,0.04296875
15008097,0.03564453125
15008197,0.04541015625
15008297,0.05322265625
15008397,0.0439453125
15008497,0.0537109375
15008606,0.0439453125
15008707,0.052734375
15008807,0.04248046875
15008916,0.05224609375
15009016,0.04638671875
15009125,0.0498046875
15009226,0.048828125
15009326,0.052734375
15009435,0.04638671875
15009535,0.046875
15009635,0.0419921875
15009735,0.04541015625
15009835,0.04150390625
15009945,0.046875
15010045,0.0400390625
15010145,0.044921875
15010245,0.04541015625
15010345,0.0361328125
15010454,0.037109375
15010555,0.05078125
15010654,0.0458984375
15010763,0.0498046875
15010864,0.04443359375
15010964,0.04541015625
15011064,0.04443359375
15011164,0.04931640625
15011273,0.04296875
15011373,0.03955078125
15011473,0.041015625
15011573,0.04345703125
15011673,0.0361328125
15011782,0.046875
15011883,0.04345703125
15011983,0.04541015625
15012092,0.04248046875
15012192,0.048828125
15012295,0.05078125
15012392,0.04833984375
15012492,0.044921875
15012601,0.04052734375
15012701,0.04296875
15012801,0.05078125
15012901,0.04931640625
15013001,0.04638671875
15013111,0.04150390625
15013211,0.04541015625
15013311,0.04296875
15013411,0.04052734375
15013511,0.046875
15013620,0.03662109375
15013721,0.04833984375
15013820,0.044921875
15013929,0.0458984375
15014030,0.03857421875
15014130,0.048828125
15014230,0.04052734375
15014330,0.04541015625
15014439,0.04296875
15014539,0.0458984375
15014639,0.044921875
15014739,0.04931640625
15014839,0.037109375
15014948,0.04248046875
15015049,0.0439453125
15015149,0.05126953125
15015258,0.04833984375
15015358,0.04541015625
15015458,0.04833984375
15015558,0.046875
15015658,0.04150390625
15015767,0.04931640625
15015867,0.0546875
15015967,0.04443359375
15016067,0.0419921875
15016167,0.04296875
15016277,0.0439453125
15016377,0.044921875
15016477,0.04150390625
15016586,0.04345703125
15016686,0.04638671875
15016796,0.041015625
15016896,0.0498046875
15016996,0.0498046875
15017105,0.0380859375
15017206,0.0400390625
15017306,0.046875
15017406,0.048828125
15017506,0.05224609375
15017615,0.04541015625
15017715,0.03466796875
15017815,0.0478515625
15017915,0.04345703125
15018015,0.03955078125
15018124,0.0458984375
15018225,0.0419921875
15018325,0.04638671875
15018434,0.03857421875
15018534,0.0478515625
15018634,0.05126953125
15018734,0.05224609375
15018834,0.04345703125
15018943,0.04931640625
15019044,0.04052734375
15019144,0.04541015625
15019244,0.0400390625
15019343,0.0478515625
15019453,0.0419921875
15019553,0.0439453125
15019653,0.0439453125
15019762,0.0498046875
15019862,0.0517578125
15019965,0.04541015625
15020062,0.0439453125
15020162,0.04833984375
15020271,0.041015625
15020372,0.0419921875
15020472,0.04541015625
15020572,0.0419921875
15020672,0.0380859375
15020781,0.048828125
15020891,0.0458984375
15020991,0.0400390625
15021091,0.0458984375
15021191,0.041015625
15021300,0.0439453125
15021401,0.0458984375
15021501,0.0419921875
15021610,0.04052734375
15021710,0.04833984375
15021810,0.03662109375
15021910,0.0517578125
15022010,0.044921875
15022119,0.048828125
15022220,0.04638671875
15022320,0.03857421875
15022419,0.046875
15022519,0.04345703125
15022629,0.041015625
15022729,0.04931640625
15022829,0.05029296875
15022938,0.04638671875
15023038,0.0380859375
15023141,0.0478515625
15023238,0.04833984375
15023338,0.0439453125
15023447,0.0390625
15023548,0.04931640625
15023648,0.0478515625
15023758,0.0498046875
15023858,0.04638671875
15023967,0.04248046875
15024067,0.04443359375
15024167,0.048828125
15024277,0.04248046875
15024377,0.04345703125
15024486,0.0498046875
15024587,0.048828125
15024687,0.0361328125
15024796,0.03857421875
15024896,0.04443359375
15024996,0.04150390625
15025096,0.05029296875
15025196,0.05029296875
15025305,0.0419921875
15025406,0.04443359375
15025506,0.0537109375
15025605,0.05126953125
15025705,0.0517578125
15025815,0.04541015625
15025915,0.05078125
15026015,0.0400390625
15026124,0.044921875
15026224,0.05615234375
15026324,0.04443359375
15026424,0.05029296875
15026524,0.04296875
15026633,0.04248046875
15026734,0.04345703125
15026834,0.0458984375
15026933,0.04931640625
15027033,0.04296875
15027143,0.04296875
15027243,0.04638671875
15027343,0.0439453125
15027452,0.0517578125
15027553,0.046875
15027662,0.0517578125
15027763,0.046875
15027863,0.04443359375
15027972,0.05419921875
15028072,0.03955078125
15028172,0.04638671875
15028272,0.046875
15028372,0.0478515625
15028481,0.046875
15028582,0.04931640625
15028682,0.0478515625
15028791,0.05029296875
15028891,0.0439453125
15029000,0.0478515625
15029101,0.05126953125
15029201,0.03955078125
15029310,0.0419921875
15029410,0.046875
15029510,0.05126953125
15029610,0.04296875
15029710,0.052734375
15029819,0.04833984375
15029920,0.05029296875
15030020,0.04052734375
15030120,0.0537109375
15030220,0.0400390625
15030329,0.04443359375
15030429,0.04443359375
15030529,0.0458984375
15030638,0.0478515625
15030739,0.0517578125
15030842,0.04296875
15030938,0.04345703125
15031038,0.0439453125
15031148,0.0478515625
15031248,0.046875
15031348,0.04296875
15031448,0.0419921875
15031548,0.04150390625
15031657,0.04833984375
15031758,0.04150390625
15031858,0.05126953125
15031967,0.044921875
15032067,0.04052734375
15032177,0.05517578125
15032277,0.04150390625
15032377,0.044921875
15032486,0.048828125
15032586,0.046875
15032686,0.04248046875
15032786,0.04296875
15032886,0.04052734375
15032995,0.04248046875
15033096,0.044921875
15033196,0.03955078125
15033296,0.0478515625
15033396,0.04248046875
15033505,0.044921875
15033605,0.04541015625
15033705,0.046875
15033814,0.04248046875
15033915,0.0400390625
15034015,0.03857421875
15034114,0.044921875
15034214,0.0400390625
15034324,0.05224609375
15034424,0.0380859375
15034524,0.05322265625
15034624,0.04150390625
15034724,0.048828125
15034833,0.0439453125
15034934,0.04443359375
15035034,0.05078125
15035143,0.05517578125
15035243,0.0478515625
15035352,0.05322265625
15035453,0.04833984375
15035553,0.04443359375
15035662,0.0498046875
15035762,0.0390625
15035862,0.046875
15035962,0.04638671875
15036062,0.0458984375
15036171,0.05029296875
15036272,0.04638671875
15036372,0.0498046875
15036472,0.04052734375
15036572,0.0498046875
15036681,0.0458984375
15036781,0.044921875
15036881,0.04296875
15036990,0.04443359375
15037091,0.03955078125
15037191,0.041015625
15037291,0.0439453125
15037391,0.0390625
15037500,0.0419921875
15037600,0.03857421875
15037700,0.048828125
15037800,0.03662109375
15037900,0.0390625
15038009,0.04541015625
15038110,0.041015625
15038209,0.0537109375
15038319,0.05078125
15038419,0.05029296875
15038522,0.04931640625
15038619,0.04931640625
15038719,0.046875
15038828,0.0341796875
15038928,0.04052734375
15039028,0.04638671875
15039128,0.05078125
15039228,0.046875
15039337,0.04931640625
15039438,0.04296875
15039538,0.04296875
15039637,0.05126953125
15039737,0.05224609375
15039847,0.04052734375
15039947,0.048828125
15040047,0.0380859375
15040156,0.04052734375
15040257,0.044921875
15040357,0.04931640625
15040456,0.05029296875
15040556,0.05517578125
15040667,0.05078125
15040766,0.03955078125
15040866,0.048828125
15040966,0.04248046875
15041066,0.04345703125
15041175,0.0390625
15041276,0.04150390625
15041375,0.0556640625
15041485,0.03955078125
15041585,0.04345703125
15041685,0.0498046875
15041785,0.04345703125
15041885,0.0498046875
15041994,0.04345703125
15042094,0.05078125
15042194,0.05078125
15042294,0.05126953125
15042394,0.0400390625
15042503,0.0400390625
15042604,0.04443359375
15042704,0.04443359375
15042813,0.04345703125
15042913,0.03955078125
15043023,0.04345703125
15043123,0.0400390625
15043223,0.04541015625
15043332,0.04931640625
15043433,0.05859375
15043533,0.048828125
15043632,0.0546875
15043732,0.04443359375
15043842,0.04248046875
15043942,0.04638671875
15044042,0.041015625
15044142,0.0419921875
15044242,0.048828125
15044351,0.04345703125
15044452,0.04833984375
15044551,0.0458984375
15044661,0.0439453125
15044761,0.03955078125
15044861,0.04150390625
15044961,0.04638671875
15045061,0.0419921875
15045170,0.0439453125
15045271,0.0478515625
15045370,0.0458984375
15045470,0.044921875
15045570,0.0478515625
15045679,0.04150390625
15045780,0.04296875
15045880,0.0361328125
15045989,0.0478515625
15046089,0.04296875
15046192,0.0439453125
15046289,0.04296875
15046389,0.0458984375
15046498,0.04638671875
15046599,0.03515625
15046699,0.052734375
15046799,0.03466796875
15046899,0.044921875
15047008,0.044921875
15047108,0.04345703125
15047208,0.0537109375
15047308,0.05078125
15047408,0.0361328125
15047517,0.04541015625
15047618,0.046875
15047717,0.04443359375
15047827,0.04638671875
15047927,0.05224609375
15048027,0.0458984375
15048127,0.0537109375
15048227,0.04296875
15048336,0.04296875
15048437,0.04541015625
15048536,0.04052734375
15048636,0.0419921875
15048736,0.0419921875
15048845,0.0390625
15048946,0.05078125
15049046,0.033203125
15049155,0.04296875
15049255,0.04638671875
15049358,0.04345703125
15049455,0.03564453125
15049555,0.0458984375
15049664,0.04443359375
15049765,0.0380859375
15049865,0.0458984375
15049964,0.05029296875
15050064,0.04248046875
15050174,0.0439453125
15050274,0.04052734375
15050374,0.04296875
15050483,0.04345703125
15050584,0.0498046875
15050693,0.0517578125
15050794,0.05078125
15050893,0.0478515625
15051003,0.05126953125
15051103,0.0400390625
15051203,0.048828125
15051303,0.04248046875
15051403,0.04345703125
15051512,0.044921875
15051613,0.04296875
15051712,0.04541015625
15051812,0.0400390625
15051912,0.0556640625
15052021,0.04052734375
15052122,0.04833984375
15052222,0.0419921875
15052331,0.05224609375
15052431,0.0546875
15052531,0.0478515625
