Time (ms), Z Acceleration (g)
8506344,-0.10986328125
8506454,-0.095703125
8506553,-0.11767578125
8506653,-0.11669921875
8506764,-0.11572265625
8506863,-0.12109375
8506973,-0.1279296875
8507073,-0.11572265625
8507173,-0.11865234375
8507283,-0.12158203125
8507382,-0.1171875
8507482,-0.11865234375
8507582,-0.11767578125
8507682,-0.10498046875
8507792,-0.11328125
8507892,-0.11865234375
8507992,-0.1162109375
8508092,-0.1044921875
8508191,-0.12841796875
8508301,-0.1103515625
8508401,-0.12841796875
8508501,-0.1044921875
8508611,-0.125
8508711,-0.126953125
8508811,-0.1259765625
8508910,-0.12744140625
8509010,-0.12451171875
8509120,-0.109375
8509220,-0.10498046875
8509320,-0.119140625
8509420,-0.11376953125
8509520,-0.1259765625
8509630,-0.115234375
8509729,-0.12060546875
8509829,-0.1123046875
8509939,-0.11181640625
8510039,-0.11083984375
8510149,-0.10888671875
8510249,-0.11376953125
8510349,-0.12841796875
8510459,-0.115234375
8510558,-0.10791015625
8510658,-0.12158203125
8510758,-0.126953125
8510858,-0.11962890625
8510968,-0.11083984375
8511068,-0.12158203125
8511168,-0.12060546875
8511268,-0.11474609375
8511367,-0.1171875
8511477,-0.1220703125
8511577,-0.11572265625
8511677,-0.1142578125
8511787,-0.1162109375
8511887,-0.11328125
8511987,-0.11669921875
8512087,-0.13134765625
8512186,-0.1044921875
8512297,-0.12255859375
8512396,-0.119140625
8512496,-0.12158203125
8512596,-0.11181640625
8512696,-0.13134765625
8512806,-0.1162109375
8512906,-0.11767578125
8513005,-0.1025390625
8513115,-0.10595703125
8513215,-0.1103515625
8513315,-0.1103515625
8513415,-0.1220703125
8513515,-0.123046875
8513625,-0.123046875
8513725,-0.1025390625
8513824,-0.12255859375
8513924,-0.1220703125
8514024,-0.123046875
8514134,-0.12158203125
8514234,-0.12744140625
8514334,-0.1123046875
8514434,-0.11474609375
8514534,-0.11962890625
8514643,-0.10693359375
8514743,-0.11669921875
8514843,-0.12060546875
8514953,-0.12744140625
8515053,-0.1103515625
8515153,-0.123046875
8515253,-0.1142578125
8515352,-0.123046875
8515462,-0.1025390625
8515562,-0.11865234375
8515662,-0.1171875
8515762,-0.12060546875
8515862,-0.12109375
8515972,-0.11083984375
8516072,-0.1171875
8516171,-0.1162109375
8516281,-0.1103515625
8516381,-0.10400390625
8516481,-0.11181640625
8516581,-0.12451171875
8516681,-0.1279296875
8516791,-0.11669921875
8516891,-0.10791015625
8516990,-0.11474609375
8517090,-0.12158203125
8517190,-0.11865234375
8517300,-0.11767578125
8517400,-0.12060546875
8517500,-0.11572265625
8517610,-0.10791015625
8517710,-0.1171875
8517820,-0.126953125
8517919,-0.13232421875
8518019,-0.10595703125
8518129,-0.1171875
8518229,-0.115234375
8518329,-0.11181640625
8518439,-0.123046875
8518539,-0.10693359375
8518649,-0.11376953125
8518748,-0.11669921875
8518848,-0.115234375
8518948,-0.1162109375
8519048,-0.12109375
8519158,-0.12646484375
8519258,-0.109375
8519358,-0.1318359375
8519468,-0.1171875
8519567,-0.1044921875
8519667,-0.12158203125
8519767,-0.11474609375
8519867,-0.1142578125
8519977,-0.10302734375
8520077,-0.09716796875
8520176,-0.12158203125
8520276,-0.10693359375
8520376,-0.115234375
8520486,-0.1162109375
8520586,-0.11865234375
8520686,-0.1103515625
8520796,-0.119140625
8520896,-0.11572265625
8520996,-0.10888671875
8521095,-0.1162109375
8521195,-0.119140625
8521305,-0.0986328125
8521405,-0.11669921875
8521505,-0.11767578125
8521605,-0.10546875
8521705,-0.1162109375
8521815,-0.111328125
8521914,-0.11962890625
8522014,-0.12255859375
8522114,-0.115234375
8522214,-0.11328125
8522324,-0.115234375
8522424,-0.11474609375
8522524,-0.11962890625
8522634,-0.125
8522733,-0.11474609375
8522833,-0.11181640625
8522933,-0.1142578125
8523033,-0.12548828125
8523143,-0.12744140625
8523243,-0.1142578125
8523343,-0.1220703125
8523442,-0.11572265625
8523542,-0.1083984375
8523652,-0.119140625
8523752,-0.1220703125
8523852,-0.10986328125
8523962,-0.10986328125
8524062,-0.1279296875
8524162,-0.095703125
8524261,-0.10791015625
8524361,-0.12744140625
8524471,-0.10498046875
8524571,-0.1171875
8524671,-0.11181640625
8524771,-0.111328125
8524871,-0.1103515625
8524981,-0.12451171875
8525080,-0.1220703125
8525180,-0.10595703125
8525291,-0.13134765625
8525390,-0.10986328125
8525500,-0.1220703125
8525600,-0.126953125
8525700,-0.10888671875
8525810,-0.12060546875
8525909,-0.130859375
8526009,-0.12060546875
8526109,-0.1201171875
8526209,-0.1123046875
8526319,-0.10986328125
8526419,-0.1171875
8526519,-0.1201171875
8526618,-0.111328125
8526718,-0.1171875
8526828,-0.126953125
8526928,-0.11669921875
8527028,-0.109375
8527138,-0.12841796875
8527238,-0.11962890625
8527338,-0.1064453125
8527437,-0.11962890625
8527537,-0.11962890625
8527648,-0.12158203125
8527747,-0.1103515625
8527847,-0.123046875
8527947,-0.11767578125
