Time (ms), X Mangetometer (uT)
2794174,-7.801950454711914
2794264,-6.9017252922058105
2794353,-7.951988220214844
2794473,-7.651913166046143
2794563,-9.002250671386719
2794663,-7.501875400543213
2794753,-6.9017252922058105
2794833,-7.801950454711914
2794953,-7.951988220214844
2795063,-6.9017252922058105
2795163,-7.501875400543213
2795202,-8.552138328552246
2795332,-7.951988220214844
2795473,-7.05176305770874
2795532,-9.002250671386719
2795652,-7.05176305770874
2795762,-7.951988220214844
2795822,-6.751688003540039
2795952,-7.201800346374512
2796062,-6.301575660705566
2796162,-6.601650238037109
2796262,-6.151537895202637
2796362,-6.751688003540039
2796462,-6.301575660705566
2796561,-7.501875400543213
2796661,-6.751688003540039
2796761,-8.102025985717773
2796861,-6.9017252922058105
2796961,-7.951988220214844
2797081,-7.201800346374512
2797171,-8.102025985717773
2797261,-7.201800346374512
2797361,-7.05176305770874
2797431,-7.651913166046143
2797561,-6.751688003540039
2797661,-7.801950454711914
2797702,-7.201800346374512
2797860,-6.601650238037109
2797960,-6.9017252922058105
2798060,-7.501875400543213
2798160,-8.252062797546387
2798280,-6.601650238037109
2798360,-6.601650238037109
2798420,-9.152288436889648
2798590,-8.102025985717773
2798680,-7.651913166046143
2798760,-6.601650238037109
2798860,-5.701425552368164
2798960,-8.852212905883789
2799059,-7.651913166046143
2799169,-8.552138328552246
2799259,-7.951988220214844
2799319,-7.05176305770874
2799459,-6.001500606536865
2799559,-6.601650238037109
2799659,-6.151537895202637
2799759,-9.002250671386719
2799859,-7.501875400543213
2799959,-6.301575660705566
2800008,-6.751688003540039
2800158,-6.9017252922058105
2800268,-7.951988220214844
2800358,-7.201800346374512
2800458,-6.601650238037109
2800588,-6.751688003540039
2800658,-7.201800346374512
2800758,-6.301575660705566
2800848,-7.201800346374512
2800958,-6.9017252922058105
2801058,-7.05176305770874
2801168,-7.201800346374512
2801258,-6.301575660705566
2801367,-8.252062797546387
2801407,-7.501875400543213
2801577,-7.651913166046143
2801667,-8.852212905883789
2801702,-7.801950454711914
2801857,-6.601650238037109
2801957,-7.801950454711914
2802057,-8.70217514038086
2802167,-6.751688003540039
2802257,-7.651913166046143
2802367,-7.201800346374512
2802447,-6.9017252922058105
2802556,-7.801950454711914
2802657,-8.252062797546387
2802756,-7.201800346374512
2802856,-7.801950454711914
2802956,-7.501875400543213
2803086,-7.05176305770874
2803176,-6.001500606536865
2803266,-6.601650238037109
2803356,-6.151537895202637
2803456,-7.651913166046143
2803556,-7.201800346374512
2803656,-7.801950454711914
2803756,-7.05176305770874
2803845,-6.9017252922058105
2803955,-6.601650238037109
2804025,-6.9017252922058105
2804125,-7.801950454711914
2804255,-7.501875400543213
2804355,-8.70217514038086
2804475,-6.151537895202637
2804545,-7.651913166046143
2804655,-8.552138328552246
2804755,-7.801950454711914
2804854,-7.801950454711914
2804954,-8.552138328552246
2805084,-6.601650238037109
2805174,-7.801950454711914
2805264,-8.102025985717773
2805354,-7.951988220214844
2805444,-8.252062797546387
2805554,-8.252062797546387
2805654,-7.201800346374512
2805754,-7.501875400543213
2805864,-6.751688003540039
2805934,-5.251312732696533
2806083,-7.05176305770874
2806174,-7.501875400543213
2806273,-7.501875400543213
2806302,-8.552138328552246
2806453,-7.951988220214844
2806583,-7.651913166046143
2806653,-6.751688003540039
