Time (ms), X Acceleration (g)
2987102,-0.9716796875
2987248,-0.966796875
2987302,-0.96533203125
2987428,-0.96728515625
2987597,-0.97314453125
2987602,-0.97314453125
2987727,-0.9658203125
2987802,-0.9638671875
2987902,-0.96142578125
2988002,-0.966796875
2988106,-0.9765625
2988227,-0.97216796875
2988302,-0.966796875
2988402,-0.9716796875
2988503,-0.96533203125
2988604,-0.96728515625
2988702,-0.9541015625
2988802,-0.9755859375
2988976,-0.970703125
2989030,-0.9580078125
2989116,-0.95751953125
2989205,-0.96728515625
2989375,-0.97216796875
2989402,-0.96630859375
2989530,-0.9658203125
2989615,-0.9658203125
2989705,-0.9638671875
2989865,-0.96875
2989902,-0.974609375
2990094,-0.97314453125
2990102,-0.96435546875
2990234,-0.97412109375
2990302,-0.96728515625
2990434,-0.96533203125
2990503,-0.97265625
2990602,-0.96533203125
2990702,-0.96435546875
2990802,-0.97412109375
2990902,-0.9697265625
2991093,-0.96826171875
2991102,-0.96826171875
2991202,-0.9658203125
2991302,-0.9658203125
2991402,-0.96728515625
2991505,-0.96728515625
2991608,-0.96875
2991702,-0.96240234375
2991802,-0.9619140625
2991922,-0.97265625
2992008,-0.96435546875
2992108,-0.96484375
2992202,-0.96728515625
2992342,-0.966796875
2992402,-0.96484375
2992534,-0.96240234375
2992622,-0.96728515625
2992722,-0.966796875
2992802,-0.96240234375
2992902,-0.96337890625
2993084,-0.96484375
2993171,-0.966796875
2993202,-0.96630859375
2993302,-0.97265625
2993411,-0.96435546875
2993590,-0.96826171875
2993602,-0.96728515625
2993702,-0.95947265625
2993802,-0.9697265625
2993902,-0.9560546875
2994063,-0.9697265625
2994110,-0.96337890625
2994202,-0.9609375
2994302,-0.97216796875
2994460,-0.9609375
2994582,-0.9658203125
2994609,-0.96630859375
2994729,-0.96044921875
2994819,-0.96923828125
2994902,-0.96240234375
2995030,-0.96142578125
2995119,-0.9658203125
2995209,-0.9677734375
2995302,-0.9736328125
2995402,-0.9638671875
2995530,-0.96484375
2995618,-0.966796875
2995708,-0.9677734375
2995802,-0.9638671875
2995902,-0.96923828125
2996101,-0.96533203125
2996187,-0.96240234375
2996202,-0.966796875
2996302,-0.96875
2996402,-0.9677734375
2996590,-0.96240234375
2996637,-0.95947265625
2996702,-0.966796875
2996802,-0.95849609375
2996917,-0.966796875
2997003,-0.966796875
2997108,-0.96484375
2997202,-0.97021484375
2997302,-0.96435546875
2997402,-0.96728515625
2997505,-0.96923828125
2997606,-0.96435546875
2997702,-0.96630859375
2997802,-0.97314453125
2997902,-0.96484375
2998030,-0.97802734375
2998115,-0.96142578125
2998205,-0.9619140625
2998302,-0.96923828125
2998465,-0.96337890625
2998584,-0.96875
2998602,-0.9658203125
2998702,-0.96826171875
2998802,-0.97021484375
2998902,-0.9658203125
2999030,-0.9677734375
2999115,-0.9658203125
2999204,-0.96484375
2999304,-0.97216796875
2999402,-0.96044921875
2999505,-0.9677734375
2999609,-0.96826171875
2999753,-0.9638671875
2999802,-0.9658203125
2999963,-0.96923828125
3000036,-0.9755859375
3000139,-0.9677734375
3000223,-0.96533203125
3000313,-0.97265625
3000463,-0.96533203125
3000542,-0.96337890625
3000602,-0.96044921875
3000702,-0.9560546875
3000803,-0.970703125
3000902,-0.97021484375
3001072,-0.96826171875
3001103,-0.970703125
3001202,-0.970703125
3001302,-0.96875
3001402,-0.97314453125
3001508,-0.96630859375
3001607,-0.96728515625
3001702,-0.96435546875
3001871,-0.97705078125
3001902,-0.96484375
3002033,-0.966796875
3002121,-0.96337890625
3002202,-0.96044921875
3002302,-0.96826171875
3002410,-0.9677734375
3002534,-0.96240234375
3002620,-0.9658203125
3002702,-0.966796875
3002802,-0.966796875
3002902,-0.9619140625
3003073,-0.9755859375
3003110,-0.966796875
3003202,-0.9638671875
3003330,-0.96044921875
3003402,-0.9697265625
3003502,-0.96484375
3003613,-0.958984375
3003702,-0.97216796875
3003802,-0.97265625
3003902,-0.9697265625
3004030,-0.9697265625
3004119,-0.9755859375
3004259,-0.97216796875
3004308,-0.970703125
3004458,-0.97705078125
3004531,-0.97216796875
3004608,-0.96484375
3004702,-0.9658203125
3004858,-0.97021484375
3004928,-0.9677734375
3005005,-0.96826171875
3005108,-0.97216796875
3005202,-0.970703125
3005302,-0.9609375
3005402,-0.96484375
3005547,-0.9619140625
3005602,-0.96923828125
3005767,-0.96337890625
3005807,-0.96728515625
3005902,-0.9716796875
3006030,-0.96826171875
3006116,-0.96533203125
3006206,-0.96630859375
3006302,-0.96875
3006402,-0.96484375
3006530,-0.9677734375
3006616,-0.97265625
3006736,-0.96630859375
3006802,-0.96728515625
3006902,-0.96728515625
3007085,-0.9658203125
3007102,-0.97021484375
3007215,-0.96484375
3007302,-0.9619140625
3007402,-0.96484375
3007544,-0.9619140625
3007602,-0.96044921875
3007735,-0.97314453125
3007864,-0.96337890625
3007902,-0.96044921875
3008031,-0.9697265625
3008104,-0.9599609375
