Time (ms), Z Mangetometer (uT)
666375,-38.85971450805664
666475,-38.55963897705078
666605,-37.35934066772461
666695,-37.35934066772461
666785,-38.409603118896484
666875,-38.25956344604492
666975,-38.25956344604492
667002,-36.90922927856445
667185,-38.109527587890625
667275,-38.85971450805664
667345,-36.609153747558594
667475,-35.55889129638672
667525,-37.05926513671875
667675,-38.25956344604492
667775,-37.65941619873047
667874,-38.109527587890625
667974,-37.05926513671875
668084,-36.90922927856445
668184,-37.95949172973633
668274,-37.95949172973633
668374,-37.35934066772461
668402,-38.409603118896484
668604,-37.65941619873047
668694,-37.20930099487305
668724,-37.95949172973633
668874,-38.55963897705078
668974,-39.0097541809082
669044,-37.35934066772461
669173,-38.109527587890625
669273,-37.809452056884766
669373,-38.55963897705078
669473,-37.809452056884766
669583,-38.109527587890625
669683,-38.25956344604492
669773,-38.25956344604492
669803,-37.65941619873047
669973,-38.55963897705078
670103,-37.809452056884766
670193,-37.05926513671875
670233,-38.25956344604492
670373,-37.35934066772461
670473,-38.55963897705078
670582,-36.75918960571289
670682,-37.05926513671875
670743,-37.20930099487305
670872,-36.75918960571289
670903,-37.35934066772461
671082,-37.809452056884766
671182,-37.65941619873047
671262,-36.90922927856445
671382,-36.309078216552734
671482,-37.35934066772461
671582,-37.65941619873047
671682,-38.55963897705078
671712,-37.809452056884766
671881,-38.55963897705078
671981,-37.809452056884766
672081,-38.109527587890625
672181,-39.609901428222656
672281,-38.25956344604492
672381,-36.75918960571289
672481,-37.05926513671875
672502,-37.05926513671875
672681,-37.95949172973633
672761,-37.95949172973633
672881,-39.3098258972168
672981,-36.90922927856445
673081,-37.20930099487305
673181,-38.25956344604492
673281,-36.90922927856445
673381,-38.109527587890625
673481,-37.95949172973633
673560,-37.65941619873047
673680,-37.35934066772461
673780,-36.90922927856445
673880,-38.25956344604492
673980,-37.95949172973633
674070,-38.409603118896484
674180,-35.85896682739258
674280,-36.309078216552734
674380,-37.05926513671875
674480,-37.95949172973633
674570,-38.409603118896484
674680,-39.0097541809082
674720,-37.20930099487305
674879,-37.809452056884766
674979,-37.05926513671875
675099,-37.05926513671875
675189,-39.3098258972168
675279,-37.65941619873047
675379,-38.109527587890625
675479,-37.809452056884766
